Zip.Code,Population
11368,"112,425"
11385,"106,717"
10467,"103,732"
11211,"102,624"
11236,"100,331"
11226,"100,277"
11208,"98,660"
11234,"95,666"
11220,"95,643"
10456,"94,218"
11373,"93,967"
11214,"92,946"
10025,"92,805"
11207,"91,972"
10314,"90,761"
11219,"90,036"
11230,"89,075"
11206,"88,349"
11377,"86,421"
10458,"83,960"
11221,"83,835"
11229,"83,615"
11223,"81,789"
11355,"80,853"
10453,"79,606"
10029,"79,597"
10468,"78,647"
11235,"78,128"
11204,"76,978"
11233,"76,819"
10462,"76,756"
11212,"76,527"
10452,"76,078"
11203,"75,451"
10002,"74,993"
10457,"74,554"
11218,"74,508"
10469,"73,870"
11375,"73,488"
10466,"72,479"
10463,"71,360"
11215,"70,156"
10472,"68,796"
11706,"68,773"
11746,"68,491"
11209,"67,809"
11691,"67,094"
11210,"67,040"
11213,"66,295"
11434,"65,791"
10977,"64,882"
10027,"64,548"
14850,"64,484"
10032,"64,264"
11717,"63,054"
11201,"62,823"
10023,"62,435"
11432,"62,053"
11372,"61,844"
10312,"61,741"
10031,"60,254"
10473,"59,609"
10033,"59,607"
10460,"59,505"
10701,"59,312"
11435,"59,296"
10128,"59,256"
10024,"59,001"
11225,"58,882"
10009,"57,925"
11550,"57,652"
11216,"56,308"
11354,"55,200"
12550,"54,988"
10003,"54,682"
11238,"54,540"
14221,"54,081"
12180,"53,437"
11758,"53,424"
10306,"53,142"
14580,"52,587"
10016,"51,057"
10950,"50,895"
10011,"50,472"
10461,"50,348"
11419,"49,618"
11237,"49,310"
14094,"49,170"
10940,"49,068"
11420,"48,489"
10459,"48,351"
10451,"47,798"
10028,"47,793"
11224,"46,707"
11590,"46,560"
10021,"46,215"
11205,"46,064"
11772,"45,964"
11003,"45,263"
11228,"44,994"
11365,"44,983"
10040,"44,571"
14120,"44,437"
10465,"44,205"
11757,"44,115"
11580,"43,714"
10019,"43,703"
11520,"43,408"
13760,"43,350"
10475,"43,208"
11756,"43,099"
10034,"42,910"
12065,"42,868"
11374,"42,653"
12603,"42,589"
14075,"42,471"
11413,"42,443"
10305,"42,298"
10455,"42,283"
14609,"42,042"
11743,"41,938"
11040,"41,877"
10952,"41,834"
11367,"41,824"
10801,"41,759"
12601,"41,539"
11217,"41,407"
13440,"41,243"
10304,"41,064"
14450,"41,035"
11421,"41,002"
14150,"40,825"
10705,"40,733"
14224,"40,590"
11801,"40,340"
11704,"40,285"
10583,"40,013"
14215,"39,962"
11357,"39,902"
14701,"39,731"
10026,"39,363"
12866,"39,178"
10573,"38,861"
10301,"38,733"
11418,"38,517"
11106,"38,363"
10454,"38,203"
13021,"38,114"
11779,"38,063"
11379,"37,851"
11231,"37,845"
10550,"37,817"
11561,"37,662"
13501,"37,646"
13601,"37,624"
11412,"37,458"
11105,"37,382"
11554,"37,358"
11378,"37,279"
11358,"37,190"
11364,"36,806"
11222,"36,492"
11433,"36,489"
13126,"36,335"
11103,"36,140"
14624,"35,885"
10035,"35,743"
12401,"35,339"
12590,"34,711"
14612,"34,259"
11710,"34,237"
11369,"34,118"
